福保;Fubao;;
益田;Yitian;22.51913108886719;114.04629417480469
石厦;Shixia;22.525516816406252;114.04850990234374
购物公园;Shopping Park;22.537173764648436;114.04961685058593
福田;Futian;22.541058881835937;114.05156440917968
少年宫;Children's Palace;22.55301193359375;114.04989501953125
莲花村;Lianhuacun;22.55131812988281;114.06265976074219
华新;Huaxin;22.551576767578126;114.08153938476562
通新岭;Tongxinling;22.551851884765625;114.09070182617188
红岭;Hongling;22.558012484765626;114.10516489179687
老街;Laojie;22.547124326171875;114.11127891601564
晒布;Shaibu;22.552129208984375;114.11767868164063
翠竹;Cuizhu;22.559364091796873;114.12519088867188
田贝;Tianbei;22.57019409179687;114.12519088867188
水贝;Shuibei;22.576859208984374;114.12129356445311
草埔;Caopu;22.5865706640625;114.11210769531252
布吉;Buji;22.604071884765624;114.11656379882811
木棉湾;Mumianwan;22.60935920898438;114.12490600585937
大芬;Dafen;22.616586533203126;114.13325309570311
丹竹头;Danzhutou;22.62243118164063;114.14272506835937
六约;Liuyue;22.636936723632815;114.17530868652342
塘坑;Tangkeng;22.642507475585937;114.18756042480469
横岗;Henggang;22.65142372070313;114.20399131835939
永湖;Yonghu;22.660603486328128;114.21261840820313
荷坳;He'ao;22.67588836914063;114.21957061523437
大运;Universiade;22.68893836914063;114.22346793945312
爱联;Ailian;22.700050810546884;114.22875526367187
吉祥;Jixiang;22.71227325195313;114.23904747070313
龙城广场;Longcheng Square;22.720053251953125;114.24960479492188
南联;Nanlian;22.72477081054688;114.26072967773439
双龙;Shuanglong;;
内环路;Neihuan Road;;
新城路;Xincheng Road;;
坪西;Pingxi;;
环城南;Huancheng South;;
教育路;Jiaoyu Road;;
富坪街;Fuping Street;;
六联;Liulian;;
